xbd_uid,disaster,disaster_type,peril,xbd_tier,event_split,best_utm,N_intact,N_minor,N_major,N_destroyed,N_unclassified,N_total,xbd_date_pre,xbd_date_post,xbd_catalog_id_pre,xbd_catalog_id_post,xbd_sensor_pre,xbd_sensor_post,xbd_perc_nan_pre,xbd_perc_nan_post,s2_mgrs_tile,s2_date_pre,s2_date_post,s2_cs_pre,s2_cs_post,s1_date_pre,s1_date_post,s1_orbit_pre,s1_orbit_post,s1_direction_pre,s1_direction_post,s1_ids_pre,s1_ids_post
hurricane-matthew_00000000,hurricane-matthew,wind,storm,train,test,EPSG:32618,3,97,2,3,0,105,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.1264181137084961,0.1263580322265625,18QXF,2016-06-11,2016-10-09,0.8064879270671692,0.7418972215450248,2016-03-16,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20160316T230054_20160316T230123_010401_00F6A2_8EA6,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000001,hurricane-matthew,wind,storm,train,test,EPSG:32618,0,1,0,1,0,2,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.1126794815063476,0.112619400024414,18QXF,2015-12-24,2016-10-09,0.8214168249748572,0.737988876519676,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000002,hurricane-matthew,wind,storm,train,test,EPSG:32618,4,27,6,1,0,38,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2016-06-11,2016-10-09,0.8185715004454363,0.75102098033964,2016-03-16,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20160316T230054_20160316T230123_010401_00F6A2_8EA6,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000003,hurricane-matthew,wind,storm,train,test,EPSG:32618,13,105,0,0,0,118,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.0989341735839843,0.0988740921020507,18QXF,2015-12-24,2016-10-09,0.8598227644769697,0.7199936915801206,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000004,hurricane-matthew,wind,storm,train,test,EPSG:32618,0,0,0,0,0,0,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2016-06-11,2016-10-09,0.7842474033864418,0.7210586539173759,2016-03-16,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20160316T230054_20160316T230123_010401_00F6A2_8EA6,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000005,hurricane-matthew,wind,storm,train,test,EPSG:32618,6,49,15,1,0,71,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8574793719657502,0.7309555227269752,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000006,hurricane-matthew,wind,storm,train,test,EPSG:32618,0,0,0,0,0,0,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.1195497512817382,0.1194896697998046,18QXF,2016-06-11,2016-10-09,0.7913857190114527,0.7271970431845621,2016-03-16,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20160316T230054_20160316T230123_010401_00F6A2_8EA6,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000007,hurricane-matthew,wind,storm,train,test,EPSG:32618,13,14,0,0,6,33,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.9098936313657996,0.6371842074833532,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000008,hurricane-matthew,wind,storm,train,test,EPSG:32618,0,2,0,0,0,2,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2016-06-11,2016-10-09,0.8140159815950835,0.7518044320836893,2016-03-16,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20160316T230054_20160316T230123_010401_00F6A2_8EA6,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000009,hurricane-matthew,wind,storm,train,test,EPSG:32618,4,16,0,1,12,33,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.0920591354370117,0.0919990539550781,18QXF,2015-12-24,2016-10-09,0.8769517261378242,0.6834324701226769,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000010,hurricane-matthew,wind,storm,test,test,EPSG:32618,4,74,9,2,3,92,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.1058082580566406,0.105748176574707,18QXF,2015-12-24,2016-10-09,0.8405074103965279,0.7343610866570075,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000011,hurricane-matthew,wind,storm,test,test,EPSG:32618,34,39,2,0,5,80,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.9036813832866025,0.33624148292103057,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000012,hurricane-matthew,wind,storm,hold,test,EPSG:32618,24,72,5,0,7,108,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.9099513524184665,0.09095109367023396,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000013,hurricane-matthew,wind,storm,train,test,EPSG:32618,0,0,0,0,0,0,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2016-06-11,2016-10-09,0.8053561111940046,0.7050165918686441,2016-03-16,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20160316T230054_20160316T230123_010401_00F6A2_8EA6,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000014,hurricane-matthew,wind,storm,train,test,EPSG:32618,0,0,0,0,0,0,2013-01-05,2016-10-09,103001001E34CB00,103001005E6EF000,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8050590135272175,0.7253192974854195,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000015,hurricane-matthew,wind,storm,hold,test,EPSG:32618,3,0,0,0,0,3,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8694052382887824,0.7429049703949321,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000016,hurricane-matthew,wind,storm,train,test,EPSG:32618,33,7,3,1,5,49,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8813990919592866,0.7428603221148279,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000017,hurricane-matthew,wind,storm,train,test,EPSG:32618,36,10,1,0,9,56,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8794619132637841,0.6849362803664016,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000018,hurricane-matthew,wind,storm,test,test,EPSG:32618,16,4,1,0,4,25,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8609515487662517,0.7848248193445791,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000019,hurricane-matthew,wind,storm,test,test,EPSG:32618,9,0,0,0,5,14,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8666017677345143,0.7140847960920061,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
